Set No:1 Mean scores between outfit: 0.6292, label: 1.0
Set No:60 Mean scores between outfit: 0.3314, label: 1.0
Set No:61 Mean scores between outfit: 0.3456, label: 1.0
Set No:62 Mean scores between outfit: 0.4466, label: 1.0
Set No:63 Mean scores between outfit: 0.3822, label: 1.0
Set No:64 Mean scores between outfit: 0.4867, label: 1.0
Set No:65 Mean scores between outfit: 0.5900, label: 1.0
Set No:66 Mean scores between outfit: 0.3604, label: 1.0
Set No:67 Mean scores between outfit: 0.2457, label: 1.0
Set No:68 Mean scores between outfit: 0.2048, label: 1.0
Set No:69 Mean scores between outfit: 0.4125, label: 1.0
Set No:70 Mean scores between outfit: 0.3712, label: 1.0
Set No:71 Mean scores between outfit: 0.4967, label: 1.0
Set No:72 Mean scores between outfit: 0.5596, label: 1.0
Set No:73 Mean scores between outfit: 0.5142, label: 1.0
Set No:74 Mean scores between outfit: 0.4157, label: 1.0
Set No:75 Mean scores between outfit: 0.3461, label: 1.0
Set No:76 Mean scores between outfit: 0.3246, label: 1.0
Set No:77 Mean scores between outfit: 0.4303, label: 1.0
Set No:78 Mean scores between outfit: 0.1572, label: 1.0
Set No:79 Mean scores between outfit: 0.4130, label: 1.0
Set No:80 Mean scores between outfit: 0.6029, label: 1.0
Set No:81 Mean scores between outfit: 0.2958, label: 1.0
Set No:82 Mean scores between outfit: 0.2826, label: 1.0
Set No:83 Mean scores between outfit: 0.2084, label: 1.0
Set No:84 Mean scores between outfit: 0.3386, label: 1.0
Set No:85 Mean scores between outfit: 0.4958, label: 1.0
Set No:86 Mean scores between outfit: 0.3066, label: 1.0
Set No:87 Mean scores between outfit: 0.4891, label: 1.0
Set No:88 Mean scores between outfit: 0.4474, label: 1.0
Set No:89 Mean scores between outfit: 0.4497, label: 1.0
Set No:90 Mean scores between outfit: 0.2236, label: 1.0
Set No:91 Mean scores between outfit: 0.3593, label: 1.0
Set No:92 Mean scores between outfit: 0.6434, label: 1.0
Set No:93 Mean scores between outfit: 0.4959, label: 1.0
Set No:94 Mean scores between outfit: 0.4285, label: 1.0
Set No:95 Mean scores between outfit: 0.3536, label: 1.0
Set No:96 Mean scores between outfit: 0.6700, label: 1.0
Set No:97 Mean scores between outfit: 0.2757, label: 1.0
Set No:98 Mean scores between outfit: 0.4108, label: 1.0
Set No:99 Mean scores between outfit: 0.2611, label: 1.0
Set No:100 Mean scores between outfit: 0.3703, label: 1.0
Set No:101 Mean scores between outfit: 0.5930, label: 1.0
Set No:102 Mean scores between outfit: 0.4588, label: 1.0
Set No:103 Mean scores between outfit: 0.2547, label: 0.0
Set No:104 Mean scores between outfit: 0.2030, label: 0.0
Set No:105 Mean scores between outfit: 0.1527, label: 0.0
Set No:106 Mean scores between outfit: 0.4739, label: 0.0
Set No:107 Mean scores between outfit: 0.2342, label: 0.0
Set No:108 Mean scores between outfit: 0.2671, label: 0.0
Set No:109 Mean scores between outfit: 0.2892, label: 0.0
Set No:110 Mean scores between outfit: 0.1070, label: 0.0
Set No:111 Mean scores between outfit: 0.2750, label: 0.0
Set No:112 Mean scores between outfit: 0.2765, label: 0.0
Set No:113 Mean scores between outfit: 0.3419, label: 0.0
Set No:114 Mean scores between outfit: 0.1601, label: 0.0
Set No:115 Mean scores between outfit: 0.2665, label: 0.0
Set No:116 Mean scores between outfit: 0.3577, label: 0.0
Set No:117 Mean scores between outfit: 0.2255, label: 0.0
Set No:118 Mean scores between outfit: 0.1535, label: 0.0
Set No:119 Mean scores between outfit: 0.2309, label: 0.0
Set No:120 Mean scores between outfit: 0.4638, label: 0.0
Set No:121 Mean scores between outfit: 0.2237, label: 0.0
Set No:122 Mean scores between outfit: 0.1698, label: 0.0
Set No:123 Mean scores between outfit: 0.2017, label: 0.0
Set No:124 Mean scores between outfit: 0.4894, label: 0.0
Set No:125 Mean scores between outfit: 0.4463, label: 0.0
Set No:126 Mean scores between outfit: 0.3337, label: 0.0
Set No:127 Mean scores between outfit: 0.1816, label: 0.0
Set No:128 Mean scores between outfit: 0.4731, label: 0.0
Set No:129 Mean scores between outfit: 0.2446, label: 0.0
Set No:130 Mean scores between outfit: 0.5353, label: 0.0
Set No:131 Mean scores between outfit: 0.0381, label: 0.0
Set No:132 Mean scores between outfit: 0.2720, label: 0.0
Set No:133 Mean scores between outfit: 0.2130, label: 0.0
Set No:134 Mean scores between outfit: 0.2688, label: 0.0
Set No:135 Mean scores between outfit: 0.4310, label: 0.0
Set No:136 Mean scores between outfit: 0.2617, label: 0.0
Set No:137 Mean scores between outfit: 0.6042, label: 0.0
Set No:138 Mean scores between outfit: 0.3375, label: 0.0
Set No:139 Mean scores between outfit: 0.1974, label: 0.0
Set No:140 Mean scores between outfit: 0.5653, label: 0.0
Set No:141 Mean scores between outfit: 0.3422, label: 0.0
Set No:142 Mean scores between outfit: 0.4069, label: 0.0
Set No:143 Mean scores between outfit: 0.2578, label: 0.0
Set No:144 Mean scores between outfit: 0.2462, label: 0.0
Set No:145 Mean scores between outfit: 0.2458, label: 0.0
Set No:146 Mean scores between outfit: 0.4024, label: 0.0
Set No:147 Mean scores between outfit: 0.2072, label: 0.0
Set No:148 Mean scores between outfit: 0.3138, label: 0.0
Set No:149 Mean scores between outfit: 0.3644, label: 0.0
Set No:150 Mean scores between outfit: 0.1999, label: 0.0
Set No:151 Mean scores between outfit: 0.2183, label: 0.0
Set No:152 Mean scores between outfit: 0.4065, label: 0.0
Set No:153 Mean scores between outfit: 0.0855, label: 0.0
Set No:154 Mean scores between outfit: 0.1013, label: 0.0
Set No:155 Mean scores between outfit: 0.4771, label: 0.0
Set No:156 Mean scores between outfit: 0.2639, label: 0.0
Set No:157 Mean scores between outfit: 0.4327, label: 0.0
Set No:158 Mean scores between outfit: 0.2155, label: 0.0
Set No:159 Mean scores between outfit: 0.3100, label: 0.0
Set No:160 Mean scores between outfit: 0.1908, label: 0.0
Set No:161 Mean scores between outfit: 0.0998, label: 0.0
Set No:162 Mean scores between outfit: 0.1868, label: 0.0
Set No:163 Mean scores between outfit: 0.1367, label: 0.0
Set No:164 Mean scores between outfit: 0.2235, label: 0.0
Set No:165 Mean scores between outfit: 0.1360, label: 0.0
Set No:166 Mean scores between outfit: 0.3058, label: 0.0
Set No:167 Mean scores between outfit: 0.0307, label: 0.0
Set No:168 Mean scores between outfit: 0.2779, label: 0.0
Set No:169 Mean scores between outfit: 0.3406, label: 0.0
Set No:170 Mean scores between outfit: 0.2772, label: 0.0
Set No:171 Mean scores between outfit: 0.2764, label: 0.0
Set No:172 Mean scores between outfit: 0.0743, label: 0.0
Set No:173 Mean scores between outfit: 0.1271, label: 0.0
Set No:174 Mean scores between outfit: 0.4547, label: 0.0
Set No:175 Mean scores between outfit: 0.4860, label: 0.0
Set No:176 Mean scores between outfit: 0.3439, label: 0.0
Set No:177 Mean scores between outfit: 0.2051, label: 0.0
Set No:178 Mean scores between outfit: 0.1126, label: 0.0
Set No:179 Mean scores between outfit: 0.2283, label: 0.0
Set No:180 Mean scores between outfit: 0.2512, label: 0.0
Set No:181 Mean scores between outfit: 0.1610, label: 0.0
Set No:182 Mean scores between outfit: 0.2136, label: 0.0
Set No:183 Mean scores between outfit: 0.4380, label: 0.0
Set No:184 Mean scores between outfit: 0.1033, label: 0.0
Set No:185 Mean scores between outfit: 0.4900, label: 0.0
Set No:186 Mean scores between outfit: 0.1324, label: 0.0
Set No:187 Mean scores between outfit: 0.1645, label: 0.0
Set No:188 Mean scores between outfit: 0.3190, label: 0.0
Set No:189 Mean scores between outfit: 0.1531, label: 0.0
Set No:190 Mean scores between outfit: 0.5605, label: 0.0
Set No:191 Mean scores between outfit: 0.4433, label: 0.0
Set No:192 Mean scores between outfit: 0.2874, label: 0.0
Set No:193 Mean scores between outfit: 0.2492, label: 0.0
Set No:194 Mean scores between outfit: 0.1999, label: 0.0
Set No:195 Mean scores between outfit: 0.1395, label: 0.0
Set No:196 Mean scores between outfit: 0.3426, label: 0.0
Set No:197 Mean scores between outfit: 0.3853, label: 0.0
Set No:198 Mean scores between outfit: 0.1909, label: 0.0
Set No:199 Mean scores between outfit: 0.4867, label: 0.0
Set No:200 Mean scores between outfit: 0.2541, label: 0.0
Set No:201 Mean scores between outfit: 0.2108, label: 0.0
Set No:202 Mean scores between outfit: 0.1808, label: 0.0
Set No:203 Mean scores between outfit: 0.2741, label: 0.0
